Country Name,Continent Name,Country_Avg_GDP_Per_Capita,World_Avg_GDP_Per_Capita,Above_World_Avg,Continent_Country_ID
"Venezuela, RB",South America,8569.037491,15336.27322,0,1
Uruguay,South America,12465.54416,15336.27322,0,2
Suriname,South America,5744.352001,15336.27322,0,3
Peru,South America,4848.426906,15336.27322,0,4
Paraguay,South America,4357.861245,15336.27322,0,5
Guyana,South America,4921.9353,15336.27322,0,6
Ecuador,South America,4612.018634,15336.27322,0,7
Colombia,South America,5373.384468,15336.27322,0,8
Chile,South America,11499.78189,15336.27322,0,9
Brazil,South America,7899.14297,15336.27322,0,10
Bolivia,South America,2192.976118,15336.27322,0,11
Argentina,South America,9472.111547,15336.27322,0,12
Vanuatu,Oceania,2448.101391,15336.27322,0,1
Tuvalu,Oceania,3304.153476,15336.27322,0,2
Tonga,Oceania,3399.465634,15336.27322,0,3
Solomon Islands,Oceania,1722.376255,15336.27322,0,4
Samoa,Oceania,3250.176625,15336.27322,0,5
Papua New Guinea,Oceania,1837.250178,15336.27322,0,6
Palau,Oceania,11576.53625,15336.27322,0,7
Nauru,Oceania,9636.957607,15336.27322,0,8
"Micronesia, Fed. Sts.",Oceania,2813.136124,15336.27322,0,9
Marshall Islands,Oceania,3603.426357,15336.27322,0,10
Kiribati,Oceania,1338.469948,15336.27322,0,11
Fiji,Oceania,4121.228101,15336.27322,0,12
American Samoa,Oceania,11469.23209,15336.27322,0,13
Northern Mariana Islands,Oceania,17594.22032,15336.27322,1,14
New Zealand,Oceania,34143.77849,15336.27322,1,15
New Caledonia,Oceania,31558.63082,15336.27322,1,16
Guam,Oceania,30511.05793,15336.27322,1,17
French Polynesia,Oceania,19927.88242,15336.27322,1,18
Australia,Oceania,47116.28882,15336.27322,1,19
Trinidad and Tobago,North America,14567.00307,15336.27322,0,1
St. Vincent and the Grenadines,North America,6618.456338,15336.27322,0,2
St. Lucia,North America,8700.463169,15336.27322,0,3
Panama,North America,9900.597214,15336.27322,0,4
Nicaragua,North America,1593.080471,15336.27322,0,5
Mexico,North America,9237.006134,15336.27322,0,6
Jamaica,North America,4748.30719,15336.27322,0,7
Honduras,North America,1902.642384,15336.27322,0,8
Haiti,North America,1172.191178,15336.27322,0,9
Guatemala,North America,3233.275765,15336.27322,0,10
Grenada,North America,7301.875639,15336.27322,0,11
El Salvador,North America,3267.207707,15336.27322,0,12
Dominican Republic,North America,5653.068796,15336.27322,0,13
Dominica,North America,6743.647948,15336.27322,0,14
Cuba,North America,5801.56,15336.27322,0,15
Costa Rica,North America,8558.493446,15336.27322,0,16
British Virgin Islands,North America,,15336.27322,0,17
Belize,North America,5618.090183,15336.27322,0,18
